ds,previsao
2024-06-20,85.92
2024-06-21,86.9012170469761
2024-06-22,87.443163779974
2024-06-23,87.8171506536007
2024-06-24,88.11298450469972
2024-06-25,88.34079586982728
2024-06-26,88.4624806213379
2024-06-27,88.4975160098076
2024-06-28,88.48121841669084
2024-06-29,88.40297665953638
2024-06-30,88.27319487333298
2024-07-01,88.10214409112932
2024-07-02,87.89477126836778
2024-07-03,87.65581631302835
2024-07-04,87.39019660234452
2024-07-05,87.10276296257973
2024-07-06,86.79652497649194
2024-07-07,86.47464751243592
2024-07-08,86.14028804421426
2024-07-09,85.7956649374962
2024-07-10,85.44275253772737
2024-07-11,85.08327377557755
2024-07-12,84.71869277238847
2024-07-13,84.35022223472596
2024-07-14,83.97886782169343
2024-07-15,83.60553906321526
2024-07-16,83.23099020361902
2024-07-17,82.85584977984429
2024-07-18,82.48067238330842
2024-07-19,82.1059164762497
2024-07-20,81.73198875904085
